,make,year,engine_fuel_type,engine_hp,transmission_type,driven_wheels,number_of_doors,vehicle_size,vehicle_style,msrp,new_model
0,Bmw,2011,Premium Unleaded,335.0,Manual,Rear Wheel Drive,2,Compact,Coupe,46135.0,Bmw 1 Series M
1,Bmw,2011,Premium Unleaded,300.0,Manual,Rear Wheel Drive,2,Compact,Convertible,40650.0,Bmw 1 Series
2,Bmw,2011,Premium Unleaded,300.0,Manual,Rear Wheel Drive,2,Compact,Coupe,36350.0,Bmw 1 Series
3,Bmw,2011,Premium Unleaded,230.0,Manual,Rear Wheel Drive,2,Compact,Coupe,29450.0,Bmw 1 Series
4,Bmw,2011,Premium Unleaded,230.0,Manual,Rear Wheel Drive,2,Compact,Convertible,34500.0,Bmw 1 Series
5,Bmw,2012,Premium Unleaded,230.0,Manual,Rear Wheel Drive,2,Compact,Coupe,31200.0,Bmw 1 Series
6,Bmw,2012,Premium Unleaded,300.0,Manual,Rear Wheel Drive,2,Compact,Convertible,44100.0,Bmw 1 Series
7,Bmw,2012,Premium Unleaded,300.0,Manual,Rear Wheel Drive,2,Compact,Coupe,39300.0,Bmw 1 Series
8,Bmw,2012,Premium Unleaded,230.0,Manual,Rear Wheel Drive,2,Compact,Convertible,36900.0,Bmw 1 Series
9,Bmw,2013,Premium Unleaded,230.0,Manual,Rear Wheel Drive,2,Compact,Convertible,37200.0,Bmw 1 Series
10,Bmw,2013,Premium Unleaded,300.0,Manual,Rear Wheel Drive,2,Compact,Coupe,39600.0,Bmw 1 Series
11,Bmw,2013,Premium Unleaded,230.0,Manual,Rear Wheel Drive,2,Compact,Coupe,31500.0,Bmw 1 Series
12,Bmw,2013,Premium Unleaded,300.0,Manual,Rear Wheel Drive,2,Compact,Convertible,44400.0,Bmw 1 Series
13,Bmw,2013,Premium Unleaded,230.0,Manual,Rear Wheel Drive,2,Compact,Convertible,37200.0,Bmw 1 Series
15,Bmw,2013,Premium Unleaded,320.0,Manual,Rear Wheel Drive,2,Compact,Convertible,48250.0,Bmw 1 Series
16,Bmw,2013,Premium Unleaded,320.0,Manual,Rear Wheel Drive,2,Compact,Coupe,43550.0,Bmw 1 Series
17,Audi,1992,Regular Unleaded,172.0,Manual,Front Wheel Drive,4,Midsize,Sedan,2000.0,Audi 100
19,Audi,1992,Regular Unleaded,172.0,Automatic,All Wheel Drive,4,Midsize,Wagon,2000.0,Audi 100
21,Audi,1992,Regular Unleaded,172.0,Manual,All Wheel Drive,4,Midsize,Sedan,2000.0,Audi 100
22,Audi,1993,Regular Unleaded,172.0,Manual,Front Wheel Drive,4,Midsize,Sedan,2000.0,Audi 100
